,구,동,구분,단지명,세대수,사용검사일,주소,위도,경도,자동차수,충전기수
332,기흥구,언남동,분양,동부아파트,446,19981203.0,경기도 용인시 기흥구 구성로 123,37.282445,127.1583908,490.6,10.0
333,기흥구,중동 ,분양,어정마을 동백아이파크,313,20070322.0,경기도 용인시 기흥구 언동로217번길 11,37.2821455,127.1546864,344.3,7.0
334,기흥구,보라동,분양,한보라마을 휴먼시아6단지,762,20080417.0,경기도 용인시 기흥구 한보라1로 91,37.2790972,127.1548703,838.2,17.0
335,기흥구,마북동,분양,교동마을 신창아파트,490,19961223.0,경기도 용인시 기흥구 마북로 186,37.2842213,127.1547263,539.0,11.0
336,기흥구,동백동,분양,해든마을 동백동문굿모닝힐,512,20071130.0,경기도 용인시 기흥구 동백죽전대로 455-10,37.2832077,127.1605438,563.2,12.0
337,기흥구,동백동,분양,동원마을 동원로얄듀크,477,20070731.0,경기도 용인시 기흥구 동백죽전대로 455-17,37.282445,127.1583908,524.7,11.0
338,기흥구,동백동,분양,백현마을 한라비발디(2단지),304,20060227.0,경기도 용인시 기흥구 동백7로 96,37.2852759,127.1552288,334.40000000000003,7.0
339,기흥구,동백동,분양,백현마을 코아루아파트,414,20060329.0,경기도 용인시 기흥구 동백7로 80,37.2835542,127.1648491,455.40000000000003,10.0
340,기흥구,동백동,분양,호수마을 서해그랑블,536,20060420.0,경기도 용인시 기흥구 동백7로 56,37.2852759,127.1552288,589.6,12.0
341,기흥구,동백동,분양,호수마을 동보노빌리티,481,20060227.0,경기도 용인시 기흥구 동백평촌로 39,37.2852759,127.1552288,529.1,11.0
342,기흥구,동백동,분양,호수마을상록롯데캐슬,552,20070206.0,경기도 용인시 기흥구 동백평촌로 70,37.3035542,127.1237155,607.2,13.0
343,기흥구,동백동,분양,호수마을 계룡리슈빌,567,20060302.0,경기도 용인시 기흥구 동백평촌로 15,37.2954089,127.1136988,623.7,13.0
344,기흥구,동백동,분양,백현마을 한라비발디(1단지),342,20060227.0,경기도 용인시 기흥구 동백7로 97 ,37.1633072,127.3704275,376.20000000000005,8.0
345,기흥구,동백동,분양,백현마을 모아미래도(2단지),336,20060227.0,경기도 용인시 기흥구 동백8로 126,37.1633072,127.3704275,369.6,8.0
346,기흥구,동백동,분양,호수마을 휴먼시아 5단지,488,20061106.0,경기도 용인시 기흥구 동백8로 27,37.2331489,127.1983944,536.8000000000001,11.0
